X,visits,days_attend,hours_attend,gender,age,zip,extend,length,spend_food_drink,spend_private,spend_clothes,spend_transportation,spend_donations,spend_other,spend_food_drink_total,spend_entertainment_total,spend_shopping_total,spend_travel_total,length_boulder,lodging,lodging_cost
131,20,3-4 days,3,Male,45-54,80303,No,Didn't extend stay,$200-$499,$1 - $20,$21-$49,$50-$99,$21-$49,$500-$999,$200-$499,$20-$49,$100-$199,$500-$999,Local resident,Home,0
15,20,0,0,Male,65-74,80309,NA,Zero,0,0,0,0,0,0,0,$20-$49,$100-$199,$200-$499,I live here,"Friends, family or no expense",125
104,20,3-4 days,3,Female,45-54,80303,Yes,-,$100-$199,0,$50-$99,$1 - $20,$1 - $20,$500-$999,$200-$499,$50-$99,$200-$499,$200-$499,Four nights,Hotel or motel,240
226,3-4 times,3-4 days,2,Male,45-54,80309,No,1 day,$50-$99,0,0,$1 - $20,$1 - $20,0,NA,$1 - $20,$50-$99,$20-$49,Live in Boulder,Home,500
66,20,3-4 days,2,Male,55-64,80306,No,Live in area,$1 - $20,0,$21-$49,0,0,0,0,0,$50-$99,0,Two nights,Hotel or motel,175
281,1-2 times,3-4 days,4,Male,18-24,93107,NA,I live here,0,"$1,000-$1,499",$21-$49,$200-$499,$500-$999,$50-$99,$1 - $20,0,0,0,Resident,Home,NA
15,20,0,0,Male,65-74,80309,NA,Zero,0,0,0,0,0,0,0,$20-$49,$100-$199,$200-$499,I live here,"Friends, family or no expense",125
26,1-2 times,0,0,Female,45-54,80303,No,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",0,0,0,0,0,0,$1 - $20,$500-$999,NA,NA,Two nights,Boulder Resident,175
122,20,5-6 days,3,Male,65-74,80309,NA,Live in area,$200-$499,$21-$49,$1 - $20,0,$50-$99,$1 - $20,0,$500-$999,$200-$499,0,One night,NA,3
268,20,3-4 days,4,Female,35-44,80305,No,Live in area,$200-$499,$21-$49,$1 - $20,$100-$199,$500-$999,NA,$50-$99,$50-$99,$20-$49,$20-$49,Two nights,"Friends, family or no expense",200
79,1-2 times,1-2 days,8,Male,18-24,80306,NA,NA,$1 - $20,$1 - $20,$1 - $20,$1 - $20,$1 - $20,$1 - $20,$100-$199,$20-$49,$50-$99,$500-$999,Resident,Boulder Resident,125
181,3-4 times,5-6 days,5,Female,25-34,80303,NA,I live here,$21-$49,$50-$99,$50-$99,$50-$99,0,$1 - $20,$50-$99,$20-$49,$200-$499,$50-$99,Day trip,"Friends, family or no expense",175
201,20,5-6 days,6,Female,25-34,80305,No,Live in area,$50-$99,"$2,000-$3,000",$1 - $20,$21-$49,0,$1 - $20,"$1,000-$1,999",$500-$999,$200-$499,0,One night,Hotel or motel,N/A
86,3-4 times,1-2 days,4,Female,35-44,80305,NA,2 days,$1 - $20,"$1,000-$1,499",$1 - $20,$1 - $20,$21-$49,$1 - $20,$20-$49,$1 - $20,$500-$999,0,Four nights,Hotel or motel,200
157,20,1-2 days,3,Female,55-64,80306,No,Didn't extend stay,$21-$49,NA,NA,$1 - $20,$21-$49,$1 - $20,$20-$49,$500-$999,$100-$199,$50-$99,Local resident,Boulder Resident,175
35,1-2 times,0,0,Female,Prefer not to say,80304,No,A few hours,0,0,0,0,0,0,$20-$49,$500-$999,$500-$999,$500-$999,Live in Boulder,Home,NA
212,20,3-4 days,4,Female,35-44,80304,Yes,NA,$50-$99,0,$1 - $20,$21-$49,0,0,"$2,000-$4,999",$100-$199,NA,$20-$49,Multiple day trips,NA,500
209,20,20,4,Female,45-54,80303,NA,Live in area,$50-$99,$200-$499,$100-$199,$200-$499,0,0,$200-$499,$50-$99,$50-$99,NA,Local,Hotel or motel,240
100,20,3-4 days,2,Female,45-54,80306,No,Live in area,$100-$199,0,0,$1 - $20,0,0,$20-$49,$500-$999,$1 - $20,$50-$99,Local,"Friends, family or no expense",175
133,35,3-4 days,5,Female,35-44,80303,NA,Home is here,$200-$499,0,$50-$99,$1 - $20,$200-$499,$21-$49,$20-$49,$50-$99,0,$20-$49,I live here,Home,125
172,1-2 times,1-2 days,3,Female,25-34,80309,No,Home is here,$21-$49,0,0,$1 - $20,0,0,$20-$49,$50-$99,NA,$50-$99,One night,"Friends, family or no expense",175
53,1-2 times,1-2 days,2,Female,65-74,80309,Yes,Home is here,0,0,0,0,0,0,"$2,000-$4,999",$1 - $20,$500-$999,NA,Multiple day trips,Home,NA
261,20,0,0,Male,35-44,80305,NA,Didn't extend stay,0,$1 - $20,"$1,000-$1,499","$2,000-$3,000",$200-$499,"$3,000-$4,000",0,0,0,$20-$49,I live here,"Friends, family or no expense",0
220,20,1-2 days,2,Female,45-54,80309,NA,NA,$50-$99,0,0,$50-$99,0,0,$50-$99,NA,$50-$99,$1 - $20,Local resident,Home,175
158,20,1-2 days,3,Female,55-64,80305,No,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",$21-$49,0,0,$21-$49,$1 - $20,$500-$999,NA,$1 - $20,0,$20-$49,Multiple day trips,NA,3
291,5-6 times,7-8 days,3,Female,45-54,80306,Yes,A few hours,$1 - $20,$500-$999,$100-$199,$100-$199,$21-$49,$100-$199,"$1,000-$1,999",$50-$99,$50-$99,$500-$999,Local resident,Hotel or motel,500
263,20,1-2 days,2,Female,35-44,80305,No,A few hours,$50-$99,"$1,000-$1,499",$500-$999,$1 - $20,$200-$499,NA,$20-$49,0,$50-$99,0,Live in Boulder,Home,0
253,20,1-2 days,2,Male,25-34,93107,NA,Home is here,0,$21-$49,$1 - $20,$1 - $20,$200-$499,$200-$499,$1 - $20,0,$1 - $20,0,Day trip,"Friends, family or no expense",280
270,20,1-2 days,3,Male,35-44,93111,Yes,NA,$50-$99,"$1,000-$1,499",$1 - $20,$100-$199,$1 - $20,$50-$99,NA,$1 - $20,$50-$99,$20-$49,Multiple day trips,Home,240
253,20,1-2 days,2,Male,25-34,93107,NA,Home is here,0,$21-$49,$1 - $20,$1 - $20,$200-$499,$200-$499,$1 - $20,0,$1 - $20,0,Day trip,"Friends, family or no expense",280
14,20,0,2.5,Male,55-64,80309,Yes,-,0,0,0,0,0,0,NA,$100-$199,$50-$99,NA,Multiple day trips,Boulder Resident,NA
101,20,1-2 days,1,Female,45-54,80304,NA,1 day,$100-$199,$21-$49,0,$1 - $20,0,$21-$49,$100-$199,$500-$999,$100-$199,$500-$999,Live in Boulder,NA,125
252,20,5-6 days,10,Male,45-54,80305,Yes,Live in area,0,$21-$49,"$1,000.00",$500-$999,$21-$49,"$3,000-$4,000",0,0,0,0,Day trip,Home,500
200,20,1-2 days,4,Female,55-64,93003,Yes,A few hours,$50-$99,0,$1 - $20,$21-$49,0,0,$1 - $20,$20-$49,$20-$49,$50-$99,NA,NA,NA
252,20,5-6 days,10,Male,45-54,80305,Yes,Live in area,0,$21-$49,"$1,000.00",$500-$999,$21-$49,"$3,000-$4,000",0,0,0,0,Day trip,Home,500
233,5-6 times,7-8 days,5,Female,35-44,80303,Yes,I live here,$50-$99,$1 - $20,$500-$999,$21-$49,$1 - $20,$1 - $20,"$2,000-$4,999",$500-$999,$500-$999,$500-$999,Multiple day trips,Boulder Resident,0
258,20,1-2 days,1,Female,55-64,93440,No,Didn't extend stay,0,0,$100-$199,$21-$49,$200-$499,$21-$49,$50-$99,$50-$99,$50-$99,$50-$99,Day trip,"Friends, family or no expense",175
225,3-4 times,1-2 days,4,Male,25-34,80303,Yes,Home is here,$50-$99,0,0,0,0,$1 - $20,"$2,000-$4,999",NA,$50-$99,$200-$499,Local resident,NA,500
155,20,3-4 days,2,Female,55-64,80306,NA,A few hours,$21-$49,0,$50-$99,$1 - $20,0,0,$200-$499,$100-$199,0,$200-$499,Local resident,Boulder Resident,0
53,1-2 times,1-2 days,2,Female,65-74,80309,Yes,Home is here,0,0,0,0,0,0,"$2,000-$4,999",$1 - $20,$500-$999,NA,Multiple day trips,Home,NA
193,5-6 times,5-6 days,1,Male,55-64,80306,No,Zero,$21-$49,$1 - $20,$1 - $20,$21-$49,$1 - $20,$50-$99,$1 - $20,$20-$49,$1 - $20,$20-$49,Multiple day trips,Home,N/A
240,1,12,4,Female,18-24,12345,No,0,$500-$999,$50-$99,$100-$199,$500-$999,0,$500-$999,$50-$99,$100-$199,0,NA,Day trip,Boulder Resident,0
6,20,1-2 days,1,Male,45-54,80305,No,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",0,0,0,0,0,0,$20-$49,$1 - $20,$500-$999,$50-$99,Four nights,Home,240
131,20,3-4 days,3,Male,45-54,80303,No,Didn't extend stay,$200-$499,$1 - $20,$21-$49,$50-$99,$21-$49,$500-$999,$200-$499,$20-$49,$100-$199,$500-$999,Local resident,Home,0
244,5-6 times,3-4 days,8,Male,45-54,80302,Yes,0,$500-$999,0,$200-$499,"$2,000-$3,000",$500-$999,0,"$2,000-$4,999",$20-$49,$1 - $20,$500-$999,Day trip,"Friends, family or no expense",3
26,1-2 times,0,0,Female,45-54,80303,No,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",0,0,0,0,0,0,$1 - $20,$500-$999,NA,NA,Two nights,Boulder Resident,175
246,1,12,5,Female,18-24,12345,NA,Didn't extend stay,$100-$199,$500-$999,NA,$100-$199,$50-$99,$500-$999,NA,NA,$200-$499,0,One night,Hotel or motel,N/A
55,1,1-2 days,2,Female,25-34,80305,No,-,$1 - $20,0,0,0,0,0,$20-$49,$50-$99,NA,$500-$999,Local,Home,500
213,20,3-4 days,5,Female,55-64,93108,No,A few hours,$50-$99,0,$1 - $20,$21-$49,$1 - $20,$1 - $20,$20-$49,0,$100-$199,$200-$499,One night,Home,200
89,3-4 times,1-2 days,1,Female,25-34,80303,NA,A few hours,$1 - $20,$21-$49,$100-$199,$21-$49,$500-$999,$200-$499,$200-$499,$50-$99,$1 - $20,0,One night,"Friends, family or no expense",500
162,20,3-4 days,4,Male,35-44,80305,No,2 days,$21-$49,$21-$49,$21-$49,$21-$49,$21-$49,$21-$49,"$1,000-$1,999",$50-$99,0,$50-$99,Four nights,Hotel or motel,500
41,5-6 times,1-2 days,2,Female,45-54,96161,No,Didn't extend stay,0,0,0,0,0,$21-$49,NA,$50-$99,$100-$199,$50-$99,Local,NA,240
77,1-2 times,1-2 days,1,Female,35-44,93111,No,Didn't extend stay,$1 - $20,0,0,0,0,0,$100-$199,$200-$499,0,$500-$999,One night,Home,125
278,35,3-4 days,4,Female,75-84,80305,NA,2 days,"$1,000.00",$200-$499,"$1,000-$1,499",$1 - $20,0,$21-$49,$200-$499,$100-$199,$100-$199,$20-$49,Day trip,NA,N/A
152,20,1-2 days,2.5,Female,25-34,80304,NA,Live in area,$21-$49,0,$1 - $20,$1 - $20,0,$21-$49,$20-$49,$500-$999,$20-$49,$500-$999,Live in Boulder,Boulder Resident,125
51,5-6 times,0,NA,Female,55-64,80303,NA,Didn't extend stay,0,0,$200-$499,$21-$49,$200-$499,"$5,000.00",$50-$99,$50-$99,$20-$49,$20-$49,Two nights,Boulder Resident,240
157,20,1-2 days,3,Female,55-64,80306,No,Didn't extend stay,$21-$49,NA,NA,$1 - $20,$21-$49,$1 - $20,$20-$49,$500-$999,$100-$199,$50-$99,Local resident,Boulder Resident,175
286,5-6 times,1-2 days,4,Female,25-34,93013,No,Live in area,0,$1 - $20,$500-$999,$100-$199,$500-$999,$100-$199,$50-$99,$1 - $20,$1 - $20,$1 - $20,Day trip,Boulder Resident,175
53,1-2 times,1-2 days,2,Female,65-74,80309,Yes,Home is here,0,0,0,0,0,0,"$2,000-$4,999",$1 - $20,$500-$999,NA,Multiple day trips,Home,NA
236,5-6 times,3-4 days,5,Male,45-54,80303,No,1 day,$50-$99,$500-$999,$100-$199,$200-$499,$500-$999,$50-$99,"$1,000-$1,999",$20-$49,$50-$99,$1 - $20,One night,"Friends, family or no expense",200
94,5-6 times,1-2 days,2,Female,35-44,80309,Yes,NA,$1 - $20,0,0,0,0,NA,"$2,000-$4,999",$20-$49,NA,0,Local,Boulder Resident,NA
148,20,3-4 days,3,Female,35-44,80306,NA,Home is here,$21-$49,0,$1 - $20,0,$1 - $20,$500-$999,$20-$49,NA,$500-$999,0,Local resident,Boulder Resident,280
114,1-2 times,1-2 days,5,Female,25-34,80304,No,Live in area,$100-$199,0,0,$21-$49,0,0,$20-$49,$1 - $20,$200-$499,$1 - $20,Local,Boulder Resident,0
38,3-4 times,0,0,Male,65-74,93108,NA,A few hours,0,0,0,0,0,0,NA,$1 - $20,$200-$499,$50-$99,NA,NA,NA
77,1-2 times,1-2 days,1,Female,35-44,93111,No,Didn't extend stay,$1 - $20,0,0,0,0,0,$100-$199,$200-$499,0,$500-$999,One night,Home,125
102,20,3-4 days,8,Female,35-44,80303,NA,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",$100-$199,$100-$199,$1 - $20,$1 - $20,0,$21-$49,$100-$199,$20-$49,$50-$99,$500-$999,Resident,Hotel or motel,NA
20,20,0,0,Female,25-34,80303,Yes,1 day,0,0,0,$1 - $20,0,0,$50-$99,$50-$99,$500-$999,NA,Two nights,NA,125
29,1-2 times,0,2,Female,55-64,80303,No,0,0,0,0,0,0,0,"$2,000-$4,999",$100-$199,$20-$49,NA,Two nights,NA,125
43,5-6 times,1-2 days,1,Female,25-34,93108,No,Zero,0,0,0,0,0,0,0,$200-$499,$1 - $20,0,Resident,"Friends, family or no expense",280
43,5-6 times,1-2 days,1,Female,25-34,93108,No,Zero,0,0,0,0,0,0,0,$200-$499,$1 - $20,0,Resident,"Friends, family or no expense",280
222,45,12,3,Female,65-74,80309,Yes,Home is here,$50-$99,$21-$49,0,$21-$49,$100-$199,$1 - $20,"$2,000-$4,999",$20-$49,$500-$999,$20-$49,Live in Boulder,Boulder Resident,0
265,20,3-4 days,2,Female,55-64,80305,NA,1 day,$21-$49,$21-$49,0,0,$200-$499,$21-$49,$1 - $20,$500-$999,$1 - $20,$50-$99,Local resident,Home,240
92,5-6 times,1-2 days,1,Male,25-34,80303,No,Home is here,$1 - $20,0,0,0,0,0,0,$50-$99,$1 - $20,$50-$99,NA,Hotel or motel,200
286,5-6 times,1-2 days,4,Female,25-34,93013,No,Live in area,0,$1 - $20,$500-$999,$100-$199,$500-$999,$100-$199,$50-$99,$1 - $20,$1 - $20,$1 - $20,Day trip,Boulder Resident,175
227,3-4 times,1-2 days,4,Male,25-34,80303,Yes,Home is here,$50-$99,$50-$99,0,$1 - $20,0,$100-$199,$200-$499,$50-$99,$20-$49,$1 - $20,Three nights,NA,280
27,1-2 times,1-2 days,1,Female,45-54,80309,NA,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",0,0,0,0,0,0,$50-$99,$500-$999,$200-$499,$1 - $20,Two nights,"Friends, family or no expense",200
136,NA,40,4,Female,45-54,80309,Yes,-,$200-$499,0,"$1,000.00",$100-$199,$500-$999,$100-$199,$20-$49,$20-$49,$50-$99,0,One night,"Friends, family or no expense",0
283,1-2 times,1-2 days,6,Male,35-44,91792,No,1 day,$500-$999,$21-$49,$50-$99,$100-$199,$100-$199,$500-$999,$100-$199,NA,$50-$99,0,Two nights,Home,N/A
239,1-2 times,3,5,Female,35-44,93111,NA,-,$50-$99,0,$1 - $20,$1 - $20,"$1,000-$1,499",0,$1 - $20,$100-$199,0,$1 - $20,Live in Boulder,"Friends, family or no expense",280
225,3-4 times,1-2 days,4,Male,25-34,80303,Yes,Home is here,$50-$99,0,0,0,0,$1 - $20,"$2,000-$4,999",NA,$50-$99,$200-$499,Local resident,NA,500
27,1-2 times,1-2 days,1,Female,45-54,80309,NA,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",0,0,0,0,0,0,$50-$99,$500-$999,$200-$499,$1 - $20,Two nights,"Friends, family or no expense",200
274,20,3-4 days,6,Female,55-64,80306,No,I live here,$200-$499,$1 - $20,NA,$100-$199,$200-$499,0,$20-$49,0,$50-$99,$20-$49,Multiple day trips,"Friends, family or no expense",200
160,20,1-2 days,5,Female,25-34,93460,No,Didn't extend stay,$21-$49,$1 - $20,$1 - $20,$21-$49,$100-$199,$100-$199,"$1,000-$1,999",$200-$499,$500-$999,$200-$499,Day trip,"Friends, family or no expense",N/A
169,1-2 times,1-2 days,20,Male,18-24,80303,Yes,2 days,$21-$49,$21-$49,$21-$49,$21-$49,$21-$49,$21-$49,$1 - $20,$1 - $20,$1 - $20,$1 - $20,Day trip,Home,175
291,5-6 times,7-8 days,3,Female,45-54,80306,Yes,A few hours,$1 - $20,$500-$999,$100-$199,$100-$199,$21-$49,$100-$199,"$1,000-$1,999",$50-$99,$50-$99,$500-$999,Local resident,Hotel or motel,500
256,20,3-4 days,3,Female,45-54,80305,Yes,NA,$1 - $20,0,NA,$1 - $20,$500-$999,"$5,000.00",$50-$99,0,$20-$49,$20-$49,Day trip,Home,125
121,20,7-8 days,6,Female,55-64,80305,No,I live here,$200-$499,$200-$499,$200-$499,$200-$499,$500-$999,"$3,000-$4,000",NA,$500-$999,$20-$49,NA,Four nights,NA,125
292,4,0,6,NA,18-24,89135,NA,Didn't extend stay,0,$21-$49,"$1,000-$1,499","$2,000-$3,000",0,$50-$99,$20-$49,$500-$999,$50-$99,0,Local resident,Home,N/A
134,1-2 times,3-4 days,2,Male,45-54,89135,No,Live in area,$200-$499,$50-$99,$100-$199,$100-$199,$1 - $20,"$5,000.00",NA,0,0,NA,NA,NA,0
221,29,3-4 days,4,Female,45-54,93013,NA,Live in area,$50-$99,$100-$199,$21-$49,$100-$199,0,$50-$99,0,0,0,0,Three nights,Boulder Resident,3
15,20,0,0,Male,65-74,80309,NA,Zero,0,0,0,0,0,0,0,$20-$49,$100-$199,$200-$499,I live here,"Friends, family or no expense",125
227,3-4 times,1-2 days,4,Male,25-34,80303,Yes,Home is here,$50-$99,$50-$99,0,$1 - $20,0,$100-$199,$200-$499,$50-$99,$20-$49,$1 - $20,Three nights,NA,280
140,1,3-4 days,4,Female,55-64,93460,Yes,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",$21-$49,$500-$999,$21-$49,$50-$99,0,$21-$49,$1 - $20,$1 - $20,$50-$99,$1 - $20,Four nights,NA,0
221,29,3-4 days,4,Female,45-54,93013,NA,Live in area,$50-$99,$100-$199,$21-$49,$100-$199,0,$50-$99,0,0,0,0,Three nights,Boulder Resident,3
284,3-4 times,1-2 days,4,Female,25-34,80305,NA,0,$1 - $20,0,"$1,000-$1,499",$50-$99,NA,$100-$199,$20-$49,$1 - $20,0,0,Two nights,"Friends, family or no expense",NA
142,10,3-4 days,20,Female,45-54,80305,No,Didn't extend stay,$21-$49,0,$21-$49,$1 - $20,0,0,$100-$199,$200-$499,$1 - $20,$50-$99,Multiple day trips,Hotel or motel,200
273,20,3-4 days,6,Male,25-34,80305,NA,0,$200-$499,"$1,000-$1,499","$1,000.00",NA,"$1,000-$1,499",$1 - $20,$100-$199,$20-$49,$50-$99,$50-$99,Two nights,Hotel or motel,N/A
145,20,1-2 days,5,Female,35-44,80309,NA,Didn't extend stay,$21-$49,0,0,0,0,"$3,000-$4,000",$50-$99,$50-$99,$500-$999,0,Day trip,Boulder Resident,175
189,5-6 times,1-2 days,0.5,Female,55-64,93108,Yes,Didn't extend stay,$21-$49,0,0,$1 - $20,0,$100-$199,$100-$199,$500-$999,$500-$999,NA,Local,Boulder Resident,175
239,1-2 times,3,5,Female,35-44,93111,NA,-,$50-$99,0,$1 - $20,$1 - $20,"$1,000-$1,499",0,$1 - $20,$100-$199,0,$1 - $20,Live in Boulder,"Friends, family or no expense",280
115,3-4 times,1-2 days,3,Female,25-34,80303,NA,0,$100-$199,0,0,$1 - $20,0,0,$50-$99,0,$200-$499,0,NA,"Friends, family or no expense",175
3,1,0,0,Female,65-74,80303,Yes,NA,0,0,0,0,0,0,"$1,000-$1,999",$50-$99,$20-$49,NA,Four nights,"Friends, family or no expense",200
4,1,1-2 days,3,Female,35-44,80306,No,0,0,$21-$49,NA,$200-$499,NA,$50-$99,$50-$99,$20-$49,$200-$499,$500-$999,Three nights,NA,280
128,20,7-8 days,3,Female,35-44,80309,NA,Zero,$200-$499,0,$21-$49,$21-$49,0,$21-$49,$1 - $20,$20-$49,$200-$499,$50-$99,Local,Hotel or motel,3
3,1,0,0,Female,65-74,80303,Yes,NA,0,0,0,0,0,0,"$1,000-$1,999",$50-$99,$20-$49,NA,Four nights,"Friends, family or no expense",200
23,20,3-4 days,3,Male,25-34,80309,NA,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",0,$1 - $20,"$1,000.00",NA,NA,$1 - $20,0,0,$20-$49,NA,Two nights,NA,3
109,20,5-6 days,8,Female,35-44,80306,No,2 days,$100-$199,0,$50-$99,$21-$49,0,"$5,000.00",0,0,$100-$199,$200-$499,Day trip,Boulder Resident,500
229,3-4 times,3-4 days,4,Female,55-64,80306,NA,Didn't extend stay,$50-$99,$200-$499,$21-$49,$1 - $20,$21-$49,$200-$499,0,$20-$49,0,NA,Four nights,Boulder Resident,NA
122,20,5-6 days,3,Male,65-74,80309,NA,Live in area,$200-$499,$21-$49,$1 - $20,0,$50-$99,$1 - $20,0,$500-$999,$200-$499,0,One night,NA,3
188,5-6 times,1-2 days,3,Female,35-44,80309,NA,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",$21-$49,0,0,$1 - $20,0,0,$200-$499,$100-$199,$500-$999,$20-$49,Four nights,Home,280
282,1-2 times,1-2 days,3,Female,55-64,93437,No,Live in area,$50-$99,$500-$999,$1 - $20,0,0,0,$1 - $20,0,0,0,Two nights,Hotel or motel,175
134,1-2 times,3-4 days,2,Male,45-54,89135,No,Live in area,$200-$499,$50-$99,$100-$199,$100-$199,$1 - $20,"$5,000.00",NA,0,0,NA,NA,NA,0
71,20,3-4 days,NA,Female,55-64,80304,Yes,1 day,$1 - $20,$1 - $20,$1 - $20,$1 - $20,$1 - $20,$100-$199,$20-$49,$100-$199,$200-$499,$1 - $20,Local resident,"Friends, family or no expense",0
263,20,1-2 days,2,Female,35-44,80305,No,A few hours,$50-$99,"$1,000-$1,499",$500-$999,$1 - $20,$200-$499,NA,$20-$49,0,$50-$99,0,Live in Boulder,Home,0
48,5-6 times,0,0,Male,55-64,80306,Yes,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",0,0,0,0,0,0,$1 - $20,$1 - $20,$50-$99,$20-$49,Four nights,NA,240
35,1-2 times,0,0,Female,Prefer not to say,80304,No,A few hours,0,0,0,0,0,0,$20-$49,$500-$999,$500-$999,$500-$999,Live in Boulder,Home,NA
153,20,5-6 days,4,Female,35-44,80306,No,A few hours,$21-$49,NA,$1 - $20,$1 - $20,$21-$49,$1 - $20,"$1,000-$1,999",$200-$499,$1 - $20,0,Three nights,Hotel or motel,175
185,5-6 times,1-2 days,1,Female,25-34,93013,No,Home is here,$21-$49,0,0,0,0,0,NA,$200-$499,$1 - $20,$500-$999,Local resident,Hotel or motel,175
90,5-6 times,3-4 days,2,Female,45-54,93111,NA,I live here,$1 - $20,0,$1 - $20,0,$1 - $20,0,$1 - $20,0,$1 - $20,0,Local,Home,0
126,20,7-8 days,3,Female,35-44,80309,No,Home is here,$200-$499,0,$21-$49,$21-$49,0,$200-$499,$50-$99,$200-$499,$20-$49,$200-$499,Two nights,Home,280
30,1-2 times,0,0,Male,65-74,80303,Yes,I live here,0,0,0,0,0,0,$100-$199,$20-$49,$20-$49,0,One night,Boulder Resident,0
288,5-6 times,1-2 days,5,Male,45-54,90245,Yes,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",$21-$49,$100-$199,$21-$49,$200-$499,0,0,$50-$99,$50-$99,$100-$199,$200-$499,One night,Hotel or motel,280
48,5-6 times,0,0,Male,55-64,80306,Yes,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",0,0,0,0,0,0,$1 - $20,$1 - $20,$50-$99,$20-$49,Four nights,NA,240
228,3-4 times,7-8 days,6,Male,25-34,80303,No,Didn't extend stay,$50-$99,$100-$199,$1 - $20,$1 - $20,0,$100-$199,0,$50-$99,$1 - $20,NA,One night,NA,125
102,20,3-4 days,8,Female,35-44,80303,NA,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",$100-$199,$100-$199,$1 - $20,$1 - $20,0,$21-$49,$100-$199,$20-$49,$50-$99,$500-$999,Resident,Hotel or motel,NA
159,20,3-4 days,4,Female,55-64,93111,NA,Live in area,$21-$49,0,0,$21-$49,0,0,"$1,000-$1,999",$500-$999,$200-$499,$20-$49,Multiple day trips,NA,240
